"TemplateId","Category","Subcategory","Type","ItemText","DefaultActive","PresentIn","Location","Sort","Photo","ActivePDIId","Related PDI_LineItems",
"UPDI-0032","Home","Appliance","Check","Microwave functions properly. Installed correctly and properly secured","N","PAUSE","Interior","10","","03a0d327","6b5a19af , 80b8db0c",
"UPDI-0038","Electrical","Skylight","Check","All applicable lights illuminate properly and switch/controls work as expected.","N","MDC","Interior","20","","03a0d327","f7c82ca2 , c94304cf , 7a2cd664 , 8a0045e0 , 215b59ce , c04d8783 , 1f9c99ed",
"UPDI-0040","Electrical","Software","Check","Garmin is functional and up to date. Pause Network available. RV controls App functional","N","PAUSE","Interior","10","","03a0d327","4b0e6479 , f74815b3",
"UPDI-0049","Electrical","Victron","Check","Victron system components are up to date. Secured\installed properly. No damage\blemishes.","N","PAUSE","Interior","10","","03a0d327","eec1f85e , baea6946",
"UPDI-0056","Home","Appliance","Check","Interior convection oven\oven ignites\heats properly and is installed\secured with no damage\blemish.","N","PAUSE","Interior","20","","03a0d327","e933c29d , 735305b3",
"UPDI-0065","OEM Accessory","Annex","Check","Annex is present Poles, Canvas, Shower and shower poles. No damage\blemishes","N","MDC","Accessories","10","","03a0d327","bc329a7f , 24cfaaef , 2a243b24 , 0eb6e969 , 81a42b17 , 6c481bac , 5dd1de11",
"UPDI-0070","OEM Accessory","Accessory Tote","Check","Tote is present","N","MDC","Accessories","10","","03a0d327","f977ec75 , de34702f , 9d14e3b5 , 1d8ae4a5 , 739c6ae4 , 25927b30 , 644c7802",
"UPDI-0086","Chasis","Suspension","Check","MORryde Air Suspension inflates\deflates properly. No damage\blemishes. Holds pressure 24 hours.","N","PAUSE","Exterior","10","","03a0d327","fb0e7204 , 00140ca6",
"UPDI-0118","Water System","Cassette Toilet","Check","Cassette installed properly. Indicator lights function properly","N","MDC","Interior","10","","03a0d327","17e858cf , b8127adf , 8bb78d26 , a6dae471 , 3fe0c64c , 8c0bbfa8 , 244fcf18",
"UPDI-0122","Water System","Nautilus Compartment","Check","Nautilus compartment sealed along bottom\sides. Selectors choose proper settings","N","PAUSE","Exterior","10","","03a0d327","b102b03d , c6343a8b",
"UPDI-0124","Water System","Nautilus Compartment","Check","No visible damage, scratches, cracks, or cosmetic blemishes.","N","PAUSE","Exterior","30","","03a0d327","5dbe050e , 60681fda",
"UPDI-0125","Water System","Outdoor Quick Connects","Check","Quick connect hose connects with no leaks\damage\blemishes","N","PAUSE","Exterior","10","","03a0d327","7a29748c , 4320b6fd",
"UPDI-0129","Water System","Tongue Garden Hose Spigot","Check","Spigot installed\secured properly","N","MDC","Exterior","10","","03a0d327","c7e43d4b , b15494d8 , 91a9d539 , 4ef377c7 , cdef94eb , 72e1bd2c , 6ac20d26",
"UPDI-0148","Home","Appliance","Check","Vaccuum functions properly. Inlet secured\installed properly.","N","PAUSE","Interior","20","","03a0d327","",
"UPDI-0001","Electrical","30A Power Plug","Check","Shore power plug is secured with rivets or screws and sealed","Y","MDC,PAUSE","Exterior","10","","03a0d327","56633bab , 461f528e , 97a7f034 , 526867d3 , 3b1ae158 , 55ab6646 , 9ece9d59 , f74f69bc , 105ac24d",
"UPDI-0002","Electrical","30A Power Plug","Check","Shore power plug has functioning indicator light if present and provides power when connected","Y","MDC,PAUSE","Exterior","20","","03a0d327","99d1bd83 , 403fa837 , a08476f5 , b22357df , a32031a5 , 1e90c9cd , 7fd041a5 , 11441dc3 , 4a14c5e6",
"UPDI-0004","Home","Appliance","Check","AC modes, controls, and fan are functional and cooling.","Y","MDC,PAUSE","Interior","10","","03a0d327","3bef048e , 005f6a5c , 898ba6b2 , 4c58d8f8 , 906e8d89 , daa68a1d , 3a763124 , d7755698 , 60cd41c5",
"UPDI-0005","Electrical","Appliance","Check","AC has no visible damage, scratches, cracks, or cosmetic blemishes.","Y","MDC,PAUSE","Interior","10","","03a0d327","ea9248c0 , 4d918071 , 6fba1ada , cbd5d9e6 , dec163cf , c15f1ca5 , ebc0608c , fe452259 , 3482d37e",
"UPDI-0006","Electrical","Compartment","Check","All applicable lights illuminate properly and switch/controls work as expected.","Y","MDC,PAUSE","Exterior","10","","03a0d327","065d2d25 , ba948553 , 48dd243d , 829265ff , aa2c94ac , 93ec27a6 , 9b9ffdf3 , b909af40 , 24060ebf",
"UPDI-0008","Electrical","Electric Awning","Check","Electrical controls, switches, indicators, and powered functions operate correctly.","Y","MDC,PAUSE","Exterior","10","","03a0d327","6a3c8a38 , 1914c36b , deb7ad5e , 841736a4 , 99e7d2c1 , 3d3ec54e , b97f2028 , 29a7a0b5 , abc1cded",
"UPDI-0009","OEM Accessory","Electric Awning","Check","Awning manual tool present.","Y","MDC,PAUSE","Accessories","20","","03a0d327","ba594d18 , 76616844 , fd5a25e9 , 457ae8ef , cf093229 , 77a1d139 , 42425993 , 41af833d , 94ef1716",
"UPDI-0011","Electrical","Electric Awning","Check","Awning fabric installed\secured properly. No leaks\damage\blemishes","Y","MDC,PAUSE","Exterior","10","","03a0d327","752a49ef , 4409d9cb , 7121068c , 6a8de102 , 88705b5a , 14e53ce2 , 379f0b4d , fb583efb , 63d3a8a8",
"UPDI-0014","Electrical","Exterior Lights","Check","All applicable lights illuminate properly and switch/controls work as expected.","Y","MDC,PAUSE","Exterior","10","","03a0d327","02bf85fc , e62dc351 , cb184687 , b10b394e , 64db1b91 , 90ce5995 , fd3d2f55 , 10f216c1 , 97a4905c",
"UPDI-0015","Electrical","Exterior Lights","Check","All mounting hardware, screws, rivets, and brackets are present, tight, and secure.","Y","MDC,PAUSE","Exterior","20","","03a0d327","0affcc47 , 279b4b07 , 945a53ad , b845631a , 4da58b33 , 8eef766d , a07acd63 , 4afd5c4f , ffc8b82c",
"UPDI-0018","Home","Appliance","Check","Interior fridge powers on, cools properly, settings adjust correctly","Y","MDC,PAUSE","Interior","10","","03a0d327","b2bca3bf , 8388ff6b , 444816b1 , 71483268 , 0c976537 , 063a6bd7 , 673d5560 , 9c839ea9 , e3f55ed3",
"UPDI-0021","Electrical","Interior Lights","Check","All mounting hardware, screws, rivets, and brackets are present, tight, and secure.","Y","MDC,PAUSE","Interior","10","","03a0d327","b28522b9 , c50f5bfd , 91272c8a , 6f0c10c5 , 3f294245 , b8577923 , 94e895c0 , 898c3574 , b68bbbbc",
"UPDI-0023","Electrical","Interior Main Lights","Check","Electrical controls, switches, indicators, and powered functions operate correctly.","Y","MDC,PAUSE","Interior","10","","03a0d327","dc5a9bfe , 02d1935e , 1fd4bc20 , 43605dc0 , 7161b730 , 304129a8 , 31995491 , ceb0b8c6 , d38ebb55",
"UPDI-0024","Electrical","Interior Outlets","Check","Interior outlets have power with shore power and on inverter power.","Y","MDC,PAUSE","Interior","10","","03a0d327","efcbf571 , d3fa93dc , 6f81a48f , 138f94c9 , 2efcd90c , 3dda160e , 0f28bde4 , fd30441a , c5e525dd",
"UPDI-0025","Electrical","Interior Outlets","Check","Outlets are secure, undamaged, and provide proper power.","Y","MDC,PAUSE","Interior","10","","03a0d327","f8bcfda7 , 31c82286 , 9b8faa49 , 25fd4098 , a58f9574 , 55b534ef , 2f919b0c , 24ad7e7d , c10c6d02",
"UPDI-0028","Electrical","Interior Reading Lights","Check","All applicable lights illuminate properly and switch/controls work as expected.","Y","MDC,PAUSE","Interior","10","","03a0d327","c904f5ce , 70fe7d12 , 4cf2b789 , e816d8af , 8cc9f677 , 0e72355c , f19216b0 , 9dbbf488 , eccefee2",
"UPDI-0029","Electrical","Inverter","Check","Inverter\Charger functional, installed properly, and secured. Test on\off shore power.","Y","MDC,PAUSE","Interior","10","","03a0d327","276e8fdc , a2fa5ad3 , 4f41deb6 , ae43f6f1 , a69fcfb2 , b035f1e3 , 0a28d2f7 , 1434603f , a2557e9c",
"UPDI-0034","Electrical","Radio and Sound System","Check","Radio and sound system functioning. No visible damage\blemishes.","Y","MDC,PAUSE","Interior","10","","03a0d327","4455c6de , 1a61e55a , 291e3b3f , 9d005594 , 9a4d9992 , 1e693fd7 , ebcbec99 , e651fdc7 , 53254aa6",
"UPDI-0037","Home","Skylight","Check","Properly installed, no damage\blemishes, and sealed with leak test.","Y","MDC,PAUSE","Interior","10","","03a0d327","e368869f , 82f920dc , dda54aca , ee54b7e3 , ef8bdca5 , 843dae8d , 8c3f92e6 , 265c72b5 , d9e253c2",
"UPDI-0043","Monitor","Tank Sensor","Check","Tank level sensor functional\accurate. No damage\blemishes","Y","MDC,PAUSE","Interior","10","","03a0d327","0dab4763 , 8990e2e0 , b31dee63 , 9a73d8f1 , f03c0a23 , e50f7e46 , 3a2dd1f2 , 63313380 , 7013f8fc",
